"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"157322";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI Automatik";"VF7SA9HP8EW566952";"F-R 7146";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"160236";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEP58315";"F-R 7567";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"160255";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDEP58308";"F-R 7573";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"156890";"Auto";"Ford";"Focus";"1,6 Diesel 85kW NAVI";"WF0LXXGCBLEL57410";"F-R 7117";"";"85";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"156875";"Auto";"Ford";"Focus";"1,6 Diesel 85kW NAVI";"WF0LXXGCBLEL57420";"F-R 7118";"";"85";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167762";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFD68534";"F-R 7549";"141207";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"172036";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFM52361";"F-R 7445";"153077";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"157329";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI Automatik";"VF7SA9HP8EW590799";"F-R 7222";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"161355";"Auto";"Opel";"Corsa";"1.3 Diesel 70KW NAVI";"W0L0SDL68E4286080";"F-R 8239";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"156940";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI";"VF7SA9HPKEW532993";"F-R 8650";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"157194";"Auto";"Ford";"Focus";"1,6 Diesel 85kW NAVI";"WF0LXXGCBLEY80624";"F-R 8714";"";"85";"Diesel";"Langzeitmiete";"52 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167733";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFK24305";"F-R 8817";"120220";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"157445";"Auto";"Mercedes";"C-Klasse";"200 Diesel 100kW NAVI";"WDD2042011F860741";"F-R 8738";"";"100";"Diesel";"Langzeitmiete";"66 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"161362";"Auto";"Opel";"Corsa";"1.3 Diesel 70KW NAVI";"W0L0SDL68E4285994";"F-R 7141";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"157064";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI";"VF7SA9HPKEW538225";"F-R 8685";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"156773";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI";"VF7SA9HPKEW517573";"F-R 8601";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167788";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFD68531";"F-R 9036";"142926";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"168029";"Auto";"Ford";"Fiesta";"1,6 Diesel 70KW NAVI";"WF0DXXGAKDFK24308";"F-R 7507";"";"70";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"159874";"Auto";"Nissan";"Leaf";"ACENTA";"SJNFAAZE0U6014618";"F-R 7291";"";"80";"Strom";"Langzeitmiete";"";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"172044";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFM52367";"F-R 7442";"153126";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"161375";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68E4285906";"F-R 8752";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"172296";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FM58122";"F-R 7283";"154248";"88";"Diesel";"Langzeitmiete";"52 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"157321";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI Automatik";"VF7SA9HP8EW597537";"F-R 7217";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167756";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFK24321";"F-R 7513";"141121";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"159901";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68E4246594";"F-R 7251";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"172247";"Auto";"Ford";"Focus";"1,5 Diesel 88kW NAVI";"WF06XXGCC6FM58463";"F-R 7380";"151914";"88";"Diesel";"Langzeitmiete";"52 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"161380";"Auto";"Opel";"Corsa";"1.3 Diesel 70kW NAVI";"W0L0SDL68E4286094";"F-R 8765";"";"70";"Diesel";"Langzeitmiete";"42 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"157117";"Auto";"Opel";"Ampera";"1,4 HYBRID 111kW NAVI Automatik ";"1G0R86E40CU119627";"F-PS 1481";"";"111";"Plug In (Strom, Super)";"Langzeitmiete";"35 kWh";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"156774";"Auto";"Citroën";"DS3";"1,6 Diesel 68kW NAVI";"VF7SA9HPKEW517572";"F-R 8603";"";"68";"Diesel";"Langzeitmiete";"45 l";"";"Flinkster (Endkd.)";"DB Fuhrpark"
"167758";"Auto";"Ford";"Fiesta";"1,6 Diesel 70kW NAVI";"WF0DXXGAKDFK24319";"F-R 7512";"141124";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
"168041";"Auto";"Ford";"Fiesta";"1,6 Diesel 70KW NAVI";"WF0DXXGAKDFK22432";"F-R 7492";"142890";"70";"Diesel";"Langzeitmiete";"45 l";"iBoxx";"Flinkster (Endkd.)";"DB Fuhrpark"
